Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
Brigade,Materials,Convertible Note,$322K,$6M,Afghanistan
Brigade Corporation,Industrial,Debt,$336K,$4M,Singapore
Brigates Microelectronics,Utilities,STO,$540K,$6M,Iran
Brigge Technologies,Financials,Equity,$690K,$10M,Canada
Briggo,Materials,Equity,$541K,$1M,New Zealand
Bright,Energy,STO,$254K,$2M,Thailand
BRIGHT,Healthcare,Convertible Note,$694K,$8M,Afghanistan
Bright Automotive,Information Technology,STO,$757K,$1M,Israel
Bright Beginnings Daycare,Healthcare,Debt,$27K,$7M,Ireland
bright box,Industrial,STO,$712K,$8M,Denmark
Bright Cellars,Healthcare,Debt,$844K,$10M,Belgium
Bright.com,Information Technology,Debt,$71K,$4M,South Africa
Bright Computing,Industrial,Convertible Note,$495K,$8M,Australia
Bright Funds,Real Estate,STO,$115K,$5M,United Kingdom
Bright.md,Utilities,STO,$326K,$5M,Sweden
Bright Pattern,Industrial,STO,$438K,$4M,Singapore
Bright Power,Real Estate,Equity,$596K,$4M,Israel
BrightSun,Financials,Equity,$114K,$10M,Singapore
Bright Things,Industrial,Convertible Note,$124K,$2M,India
Bright Tiger Technologies,Financials,Debt,$251K,$9M,Australia
Bright View Technologies,Real Estate,Equity,$567K,$5M,India
Bright Willow,Healthcare,STO,$68K,$1M,Indonesia
BrightArch,Industrial,Equity,$987K,$6M,Israel
Brightblue,Real Estate,Convertible Note,$763K,$5M,Sweden
Brightbox Charge,Energy,STO,$771K,$10M,Thailand
BrightBox Technologies,Financials,Convertible Note,$442K,$9M,Australia
BrightBytes,Consumer Descretionary,Equity,$451K,$9M,Canada
BrightContext,Consumer Staples,Convertible Note,$982K,$5M,Turkey
Brightcove,Healthcare,STO,$311K,$7M,Turkey
Brightcove K.K.,Healthcare,Equity,$760K,$7M,Sweden
"BrightCurrent, Inc",Energy,Equity,$813K,$1M,Mexico
BrightDoor Systems,Utilities,Equity,$941K,$4M,United Kingdom
BrightEdge,Utilities,STO,$898K,$5M,Bangladesh
Brighter.com,Industrial,STO,$554K,$8M,Ireland
Brighter Dental Care,Healthcare,Equity,$76K,$5M,Turkey
Brighter Future Challenge,Materials,Equity,$148K,$6M,New Zealand
Brightergy,Energy,STO,$954K,$5M,Australia
BrightFarms,Energy,Equity,$54K,$5M,Iran
Brightfish,Utilities,STO,$420K,$7M,Israel
BrightFunnel,Consumer Descretionary,Equity,$170K,$5M,Malaysia
Brightgeist Media,Consumer Staples,Convertible Note,$178K,$3M,India
BrightInfo,Industrial,Equity,$290K,$10M,Afghanistan
Brightkit,Consumer Descretionary,Debt,$895K,$4M,Australia
Brightkite,Materials,STO,$793K,$10M,Indonesia
"Brightleaf Solutions, Inc.",Energy,STO,$55K,$6M,Thailand
BrightLine,Materials,Convertible Note,$252K,$7M,Iran
BrightLocker,Real Estate,Debt,$912K,$6M,France
BrightLot,Materials,STO,$287K,$10M,Poland
Brightly,Consumer Staples,STO,$351K,$7M,China
BrightNest,Communication Services,STO,$44K,$8M,United Kingdom
Brighton Biotech,Communication Services,STO,$424K,$1M,India
BrightParent,Healthcare,Debt,$142K,$10M,Denmark
BrightPlanet,Materials,STO,$620K,$4M,Ireland
BrightQube,Energy,Equity,$841K,$6M,United Kingdom
Brightree,Information Technology,Equity,$407K,$5M,Ireland
BrightRoll,Energy,STO,$47K,$3M,China
BrightScope,Real Estate,Equity,$37K,$9M,Poland
BrightSide Software,Consumer Staples,Convertible Note,$503K,$6M,Australia
BrightSky Labs,Consumer Staples,Convertible Note,$640K,$4M,South Africa
BrightSource Energy,Financials,Convertible Note,$370K,$9M,Indonesia
BrightSpec,Healthcare,Debt,$974K,$9M,Australia
Brightstar,Information Technology,STO,$265K,$9M,Malaysia
Brightstorm,Real Estate,Debt,$981K,$2M,Afghanistan
Signal,Communication Services,Equity,$249K,$9M,Canada
BrightTALK,Information Technology,Equity,$876K,$4M,Australia
Bright!Tax,Financials,STO,$769K,$5M,France
brightup,Information Technology,Equity,$918K,$6M,Sweden
BrightView Systems,Consumer Descretionary,Debt,$730K,$7M,India
Brightware,Materials,Debt,$792K,$7M,Bangladesh
BrightWhistle,Consumer Descretionary,Equity,$176K,$2M,Australia
Brijot Imaging Systems,Healthcare,Equity,$166K,$8M,Iran
BRIKA,Energy,Equity,$789K,$10M,South Africa
Brilent,Healthcare,Debt,$762K,$5M,Iran
Brilig,Materials,Convertible Note,$538K,$6M,United States
Brill Street + Company,Consumer Staples,Convertible Note,$922K,$10M,Denmark
Brille24,Consumer Descretionary,Equity,$229K,$1M,Israel
Brilliant Bicycles,Communication Services,STO,$701K,$4M,Malaysia
Brilliant Inc,Materials,Debt,$146K,$5M,Afghanistan
Brilliant.org,Real Estate,STO,$251K,$4M,Israel
Brilliant Telecommunications,Financials,Convertible Note,$83K,$5M,Poland
Brilliency,Healthcare,STO,$47K,$4M,South Africa
Bringg,Real Estate,Debt,$384K,$3M,Australia
Bringhub,Information Technology,STO,$810K,$5M,United Kingdom
BringIt,Healthcare,Equity,$868K,$2M,New Zealand
Bring Light,Utilities,STO,$792K,$7M,Poland
Bringme,Healthcare,Debt,$515K,$2M,Bangladesh
Bring Me That,Communication Services,Equity,$614K,$7M,Belgium
BringMeTheNews,Information Technology,Equity,$497K,$3M,Iran
"Bringrr Systems, LLC",Healthcare,Equity,$590K,$6M,Bangladesh
BringShare,Materials,Equity,$143K,$10M,Mexico
Brion Technologies,Industrial,Equity,$75K,$4M,Afghanistan
Brisbane Materials Technology,Healthcare,Debt,$896K,$8M,Malaysia
Brisk.io,Materials,Debt,$221K,$2M,South Africa
Brisk Synergies,Information Technology,Equity,$928K,$1M,Afghanistan
Bristlecone Holdings,Financials,STO,$143K,$7M,Malaysia
Bristlr,Utilities,Equity,$471K,$6M,Spain
Bristol-Myers Squibb,Healthcare,STO,$683K,$5M,Sweden
Brit + Co,Real Estate,Convertible Note,$228K,$3M,Denmark
Brite Energy Solar Holdings,Consumer Descretionary,Debt,$746K,$8M,Spain
Brite Health,Consumer Staples,Debt,$198K,$5M,Israel
Brite Semiconductor,Real Estate,Convertible Note,$217K,$2M,Ireland
Brite Solar,Consumer Descretionary,STO,$326K,$8M,Iran
Brite:Bill,Consumer Descretionary,Convertible Note,$758K,$9M,Mexico
BriteHub,Consumer Descretionary,Convertible Note,$860K,$4M,Canada
Britely,Consumer Descretionary,Debt,$17K,$3M,Indonesia
Briteseed,Healthcare,Equity,$803K,$1M,Spain
Britestream Networks,Information Technology,Convertible Note,$632K,$10M,Afghanistan
Brittmore Group,Consumer Descretionary,STO,$163K,$6M,China
BRIVAS,Industrial,Equity,$473K,$10M,South Africa
Brix Networks,Consumer Staples,Equity,$438K,$9M,Bangladesh
Brixco,Consumer Descretionary,STO,$521K,$6M,Indonesia
Brndstr,Consumer Staples,STO,$243K,$9M,Singapore
Bro4u.com,Information Technology,Equity,$450K,$9M,Canada
Broad Daylight,Utilities,STO,$507K,$7M,Poland
Broad Institute,Utilities,Convertible Note,$670K,$8M,China
Broad Street Maps,Financials,Equity,$962K,$1M,Canada
Broadband Access Systems,Consumer Staples,Equity,$892K,$8M,Malaysia
Broadband National,Consumer Staples,Convertible Note,$717K,$2M,Poland
Broadband Networks Wireless Internet,Materials,Equity,$422K,$2M,Mexico
Broadband Storage,Real Estate,Debt,$803K,$8M,Sweden
Broadband Voice,Healthcare,Debt,$564K,$5M,Turkey
broadbandchoices,Communication Services,Convertible Note,$979K,$1M,Turkey
Broadbus Technologies,Materials,Convertible Note,$331K,$1M,Afghanistan
Broadcast.com,Energy,Debt,$3K,$4M,Thailand
Broadcast Grade Weather & Channel Branding Graphics Display System,Energy,STO,$652K,$6M,Belgium
Broadcast International,Industrial,Convertible Note,$255K,$7M,Australia
Broadcast.mobi,Industrial,STO,$386K,$8M,Singapore
Century,Consumer Staples,Equity,$627K,$10M,South Africa
Century Hospice,Consumer Staples,Equity,$505K,$7M,United Kingdom
Century Labs,Materials,Convertible Note,$402K,$3M,United States
Century Maritime Fund,Information Technology,Equity,$33K,$7M,Malaysia
CenturyLink,Consumer Staples,Convertible Note,$800K,$9M,Ireland
CENX,Industrial,Debt,$296K,$6M,France
Cenzic,Energy,Convertible Note,$980K,$7M,Spain
Ceon,Utilities,Equity,$242K,$9M,New Zealand
CEON Solutions Pvt,Materials,Convertible Note,$740K,$1M,Thailand
CEPA Safe Drive,Energy,STO,$636K,$8M,India
Cephasonics,Utilities,Convertible Note,$670K,$2M,Thailand
Cephea Valve Technologies,Consumer Descretionary,STO,$318K,$5M,Sweden
cortical.io,Financials,Debt,$106K,$10M,Afghanistan
Ceptaris Therapeutics,Information Technology,Equity,$823K,$9M,Belgium
Ception Therapeutics,Consumer Descretionary,Debt,$758K,$6M,Mexico
Cequel Data,Materials,Convertible Note,$125K,$1M,Turkey
Cequence Energy,Materials,STO,$216K,$9M,Belgium
Cequens,Financials,Convertible Note,$389K,$7M,United Kingdom
Cequent Pharmaceuticals,Industrial,STO,$613K,$9M,Iran
Cequint,Consumer Staples,Convertible Note,$112K,$3M,Denmark
CeQur,Materials,Convertible Note,$425K,$3M,Israel
Cerac,Industrial,Debt,$833K,$7M,United States
CeraCarbon,Healthcare,STO,$722K,$2M,Indonesia
Ceradis,Energy,STO,$357K,$7M,Canada
Ceragon Networks,Industrial,STO,$699K,$6M,Australia
Cerahelix,Energy,Equity,$257K,$3M,Mexico
Ceram Hyd,Consumer Descretionary,Debt,$819K,$8M,Singapore
Cerana Beverages,Utilities,Equity,$742K,$3M,Israel
Cerapedics,Consumer Staples,Convertible Note,$90K,$6M,Belgium
Ceraphin Entertainment,Real Estate,Debt,$813K,$7M,New Zealand
Cerberus Co.,Industrial,Convertible Note,$527K,$7M,Bangladesh
Cerebrex,Industrial,Equity,$452K,$9M,Israel
Cerebrotech Medical Systems,Industrial,Convertible Note,$773K,$9M,Spain
Cerecor,Healthcare,Convertible Note,$347K,$2M,Sweden
Ceregene,Utilities,Equity,$529K,$3M,Bangladesh
Cerego,Consumer Staples,Debt,$836K,$2M,Ireland
Cerelink,Materials,Equity,$40K,$8M,Ireland
Cerenis Therapeutics,Real Estate,Debt,$97K,$1M,Poland
Cerephex,Real Estate,Debt,$797K,$1M,Bangladesh
Ceres,Industrial,Debt,$524K,$10M,Spain
Ceres,Healthcare,Debt,$145K,$2M,United States
Ceres Imaging,Consumer Descretionary,Debt,$872K,$3M,Spain
Ceres Nanosciences,Information Technology,STO,$342K,$8M,Bangladesh
CereScan,Industrial,Debt,$956K,$10M,Israel
CereSoft,Communication Services,Convertible Note,$119K,$2M,Sweden
Cereva Networks,Utilities,Debt,$907K,$3M,Ireland
Cerevast Therapeutics,Real Estate,Debt,$38K,$3M,Israel
Cerevellum Design,Energy,Convertible Note,$414K,$3M,Australia
Cerevo,Industrial,Convertible Note,$181K,$2M,France
Cerimon Pharmaceuticals,Information Technology,Equity,$622K,$2M,United Kingdom
Cerion Technology,Energy,Equity,$525K,$8M,China
Cerkl,Communication Services,STO,$668K,$6M,Thailand
Cermati,Energy,Equity,$185K,$10M,Australia
Cernium,Information Technology,Convertible Note,$460K,$8M,Belgium
Cernostics,Information Technology,Equity,$591K,$4M,Malaysia
Cerona Networks,Utilities,STO,$267K,$3M,United States
Cerora,Consumer Staples,Equity,$746K,$10M,Iran
Ceros,Consumer Descretionary,STO,$969K,$9M,Indonesia
CerRx,Consumer Descretionary,Debt,$107K,$7M,Indonesia
Certain Communications,Utilities,Convertible Note,$329K,$8M,Denmark
Certain,Financials,Convertible Note,$985K,$2M,Afghanistan
certaj networks,Materials,Debt,$440K,$6M,Thailand
Certalia,Materials,Equity,$672K,$9M,Denmark
Certeon,Utilities,Equity,$678K,$3M,Malaysia
Certes Networks,Financials,Convertible Note,$493K,$6M,South Africa
Certess,Energy,Equity,$584K,$6M,New Zealand
Certia,Materials,Debt,$86K,$6M,China
Certica Solutions,Communication Services,Convertible Note,$532K,$3M,Turkey
Certification Europe,Communication Services,Equity,$742K,$6M,Singapore
CertificationPoint,Healthcare,Equity,$982K,$6M,Thailand
Certified Security Solutions,Utilities,STO,$764K,$10M,Thailand
Certify,Real Estate,STO,$713K,$7M,Malaysia
Certify Data Systems,Healthcare,Convertible Note,$507K,$2M,India
CertiRx,Materials,Equity,$785K,$7M,Turkey
CertiVox,Consumer Staples,STO,$189K,$10M,Malaysia
Certona,Healthcare,Equity,$871K,$6M,Denmark
Certpoint Systems,Consumer Staples,STO,$223K,$9M,Singapore
Certus,Materials,Equity,$29K,$2M,Iran
Certus Group,Financials,Equity,$896K,$3M,Australia
CertusNet,Financials,Convertible Note,$460K,$6M,Iran
Cerulean Pharma,Utilities,STO,$960K,$4M,Ireland
Cerus Corporation,Utilities,STO,$113K,$6M,France
Cerus Endovascular,Information Technology,Convertible Note,$731K,$1M,Malaysia
Cervalis,Information Technology,Debt,$835K,$5M,Turkey
Cervel Neurotech,Information Technology,Debt,$632K,$3M,Bangladesh
Cervilenz,Real Estate,Debt,$195K,$5M,Iran
CES Acquisition Corp,Utilities,Convertible Note,$614K,$3M,Afghanistan
Cesanta,Energy,Convertible Note,$918K,$1M,Israel
CESC,Information Technology,Convertible Note,$131K,$1M,Spain
Cesscorp World Wide,Communication Services,Equity,$531K,$3M,Thailand
Cetek Corporation,Energy,Convertible Note,$796K,$5M,Turkey
Ceterix Orthopaedics,Real Estate,Convertible Note,$177K,$4M,Denmark
Ceterus Networks,Industrial,STO,$281K,$1M,Thailand
CeutiCare,Consumer Staples,Debt,$289K,$7M,Canada
CEVEC Pharmaceuticals,Consumer Staples,Debt,$11K,$3M,Thailand
CEYX,Materials,Convertible Note,$550K,$8M,Malaysia
cFares,Energy,Equity,$157K,$3M,Israel
CFBank,Consumer Descretionary,STO,$696K,$4M,Australia
CFEngine,Energy,STO,$348K,$2M,Ireland
cfgAdvance,Consumer Staples,Equity,$500K,$1M,Iran
CFO.com,Consumer Descretionary,Debt,$313K,$1M,Singapore
CFRA,Energy,STO,$329K,$3M,Singapore
CFS2,Healthcare,Debt,$226K,$7M,New Zealand
CFX BATTERY,Real Estate,Debt,$173K,$5M,Poland
CG Scholar,Financials,Equity,$543K,$10M,United States
CGA Endowment,Real Estate,Equity,$365K,$10M,Afghanistan
CGI Pharmaceuticals,Consumer Staples,STO,$436K,$4M,Israel
CGON,Information Technology,Debt,$437K,$7M,South Africa
CGTrader,Communication Services,Debt,$827K,$8M,France
AssureCare,Healthcare,Equity,$77K,$7M,Belgium
CH2M Hill,Consumer Descretionary,STO,$123K,$3M,France
CH4e,Financials,Equity,$798K,$4M,Australia
Chaayos,Industrial,Debt,$539K,$10M,Thailand
Chabot Space & Science Center,Consumer Descretionary,Equity,$579K,$1M,Ireland
ChaCha,Communication Services,Debt,$428K,$2M,Malaysia
Chaffee County Telecom,Energy,Equity,$513K,$2M,Spain
Chai,Consumer Staples,Convertible Note,$445K,$2M,Bangladesh
Chai Energy,Materials,Debt,$325K,$5M,Denmark
Chai Point,Industrial,Equity,$710K,$2M,Bangladesh
Chaikin Analytics,Consumer Descretionary,STO,$373K,$3M,Iran
Chaikin Stock Research,Utilities,STO,$716K,$7M,Canada
Chai Labs,Healthcare,Equity,$574K,$6M,Sweden
Chain Networking,Utilities,Convertible Note,$231K,$1M,Australia
Chain,Materials,Equity,$163K,$8M,Sweden
CRE Secure,Information Technology,Equity,$265K,$10M,Australia
Chainalytics,Consumer Descretionary,STO,$683K,$1M,Sweden
CHAINels,Materials,Convertible Note,$353K,$2M,India
ChainSync,Energy,Equity,$980K,$4M,Mexico
Chairish,Communication Services,Convertible Note,$198K,$3M,Afghanistan
Chakpak Media,Healthcare,Debt,$811K,$8M,Turkey
Chakratec,Industrial,STO,$946K,$8M,South Africa
Chalet Tech,Industrial,Equity,$885K,$7M,South Africa
Chalk,Financials,Equity,$917K,$3M,Australia
Chalk.com,Industrial,Convertible Note,$827K,$5M,Afghanistan
Chalk Digital,Consumer Staples,Convertible Note,$718K,$1M,Poland
Chalkable,Materials,Debt,$561K,$1M,Malaysia
Chalkboard,Consumer Descretionary,Debt,$527K,$4M,Singapore
Chalkfly,Communication Services,Debt,$923K,$8M,Malaysia
ChalkRow,Consumer Descretionary,Convertible Note,$217K,$2M,Mexico
Chalkup,Healthcare,Convertible Note,$179K,$4M,United States
Challenge Games,Energy,Debt,$730K,$10M,Malaysia
Challenge Online,Materials,Convertible Note,$303K,$1M,Sweden
Challenged,Industrial,Debt,$445K,$2M,South Africa
ChallengePost,Industrial,STO,$978K,$1M,Iran
Challenger Mode,Communication Services,Equity,$586K,$10M,Mexico
Chamate,Consumer Staples,Convertible Note,$411K,$6M,Poland
Chameleon Ad,Real Estate,Convertible Note,$169K,$3M,Spain
Chameleon BioSurfaces,Industrial,STO,$352K,$7M,Sweden
Gui.de,Utilities,Equity,$450K,$9M,Thailand
Chamelic,Utilities,Equity,$734K,$9M,Belgium
Champio,Healthcare,STO,$338K,$2M,Australia
Champion Medical Technologies,Energy,Equity,$490K,$5M,Thailand
Champion Window,Utilities,STO,$841K,$10M,France
Champions Oncology,Energy,STO,$981K,$1M,China
ChampionVillage,Industrial,Convertible Note,$396K,$8M,Indonesia
Chamson Group,Real Estate,Debt,$572K,$6M,South Africa
Chance (app),Financials,Convertible Note,$361K,$1M,Mexico
chance.fm,Consumer Staples,STO,$700K,$7M,Indonesia
Changba,Materials,Debt,$958K,$7M,Mexico
Change Collective,Real Estate,STO,$567K,$2M,South Africa
Change Healthcare,Consumer Descretionary,STO,$768K,$7M,Bangladesh
Change Labs,Real Estate,Debt,$95K,$2M,United Kingdom
Change.org,Consumer Descretionary,Debt,$955K,$2M,Afghanistan
ChangeAgain.Me,Utilities,Convertible Note,$126K,$10M,Afghanistan
ChangeCoin,Materials,Debt,$582K,$9M,Malaysia
De Correspondent,Healthcare,Equity,$77K,$9M,Indonesia
De Novo,Financials,Equity,$156K,$8M,China
DeRev,Consumer Staples,Debt,$411K,$5M,Afghanistan
DE Spirits,Information Technology,Equity,$972K,$8M,Sweden
Dead Inventory Management System,Energy,Equity,$329K,$10M,Malaysia
"DeadEye Marksmanship, Inc.",Industrial,Debt,$484K,$9M,Afghanistan
Deadstock Network,Industrial,Convertible Note,$325K,$6M,India
Deako,Materials,STO,$887K,$4M,Ireland
Deal Acceleration,Consumer Descretionary,Debt,$945K,$10M,Denmark
Deal Co-op,Industrial,Convertible Note,$726K,$5M,Malaysia
Deal.com.sg,Financials,Convertible Note,$62K,$3M,Mexico
Deal Decor,Financials,Convertible Note,$547K,$3M,Denmark
Deal In City,Materials,STO,$598K,$8M,Sweden
Deal Pepper,Healthcare,Convertible Note,$577K,$10M,Poland
Pay by Shopping (deal united),Healthcare,Debt,$122K,$5M,South Africa
Skout Deals,Healthcare,STO,$477K,$5M,United Kingdom
DealAngel,Utilities,Equity,$764K,$10M,Israel
DealBase Corporation,Communication Services,Debt,$764K,$2M,Thailand
DealBird,Industrial,Debt,$558K,$1M,Indonesia
DealCircle,Healthcare,Equity,$83K,$6M,Iran
DealCloud,Financials,STO,$802K,$9M,France
DealCurious,Industrial,STO,$71K,$6M,Malaysia
DealDash,Information Technology,STO,$542K,$2M,Singapore
DealDey Limited,Financials,STO,$674K,$4M,Denmark
Dealdrive,Consumer Descretionary,Debt,$629K,$4M,United Kingdom
Dealentra,Utilities,Equity,$888K,$9M,China
Dealer.com,Information Technology,Equity,$687K,$6M,Turkey
Dealer Ignition,Financials,Equity,$911K,$6M,Spain
Dealer Inspire,Healthcare,Equity,$604K,$1M,Singapore
Dealer Tire,Utilities,Debt,$655K,$8M,Singapore
Dealerdirect,Consumer Staples,Equity,$762K,$6M,Poland
DealerRater,Materials,Debt,$888K,$4M,China
DealerSocket,Communication Services,STO,$866K,$6M,Bangladesh
Dealertrack,Communication Services,STO,$949K,$8M,Malaysia
Dealflicks,Real Estate,Debt,$885K,$6M,Thailand
Dealflow.com,Healthcare,Equity,$679K,$1M,Mexico
DealHamster,Real Estate,Debt,$367K,$9M,Thailand
Dealised,Real Estate,STO,$120K,$7M,Afghanistan
DealitLive.com,Energy,Equity,$334K,$9M,France
DealMarket,Healthcare,Equity,$242K,$9M,Ireland
DealMonk,Materials,Equity,$623K,$1M,Singapore
Dealo,Information Technology,Equity,$177K,$3M,Poland
Dealoka,Utilities,Debt,$825K,$3M,Iran
Dealorer.com,Healthcare,STO,$749K,$9M,United Kingdom
DealPerk,Communication Services,Equity,$372K,$6M,United States
DealPing,Healthcare,STO,$983K,$2M,France
Local Offer Network,Utilities,STO,$11K,$4M,Israel
Dealroom.co,Consumer Staples,Convertible Note,$743K,$6M,China
DealsAndYou,Materials,Equity,$421K,$5M,Denmark
DealsNear.me,Real Estate,Convertible Note,$459K,$8M,Spain
Dealstreet,Healthcare,Convertible Note,$224K,$3M,Bangladesh
Dealstruck,Consumer Staples,STO,$100K,$6M,Bangladesh
DealTaker,Energy,Debt,$20K,$2M,Israel
DealTraction,Healthcare,Convertible Note,$500K,$9M,Spain
Dealupa,Consumer Descretionary,Debt,$884K,$7M,Belgium
Dealyze,Consumer Descretionary,Equity,$201K,$2M,Israel
Dean Evans & Associates,Materials,STO,$843K,$7M,United Kingdom
Deanslist,Communication Services,STO,$928K,$3M,Singapore
DeansList,Consumer Staples,STO,$828K,$9M,United Kingdom
DearJane,Real Estate,STO,$777K,$4M,Spain
DearLocal,Consumer Staples,Equity,$691K,$10M,Malaysia
DearMissJ,Consumer Descretionary,Convertible Note,$217K,$10M,China
Death Buy Fashion,Consumer Descretionary,Equity,$743K,$3M,France
Death by Party,Information Technology,Debt,$165K,$9M,Mexico
Debitos,Communication Services,Convertible Note,$615K,$2M,New Zealand
DebtMarket,Communication Services,STO,$546K,$1M,Ireland
Debt Resolve,Real Estate,STO,$349K,$4M,Indonesia
Debt Wealth Builders Company,Consumer Staples,Convertible Note,$911K,$3M,China
Debteye,Utilities,Debt,$764K,$9M,Indonesia
DebtFolio,Utilities,STO,$850K,$8M,Sweden
DebtLESS Community,Materials,Convertible Note,$131K,$9M,Poland
DECA,Communication Services,Convertible Note,$388K,$9M,Spain
Decade Worldwide,Industrial,Debt,$307K,$6M,Afghanistan
Decalog,Energy,Equity,$808K,$6M,India
deCarta,Information Technology,Equity,$834K,$5M,Denmark
DecaWave,Information Technology,STO,$742K,$4M,South Africa
DeCell Technologies,Financials,Debt,$395K,$9M,Australia
Decibel Music Systems,Financials,Debt,$8K,$7M,Israel
Decibel Therapeutics,Communication Services,Convertible Note,$817K,$6M,China
"Decibol, Inc",Communication Services,Convertible Note,$956K,$10M,Singapore
Decide.com,Financials,Convertible Note,$700K,$4M,Singapore
DecideQuick,Information Technology,Convertible Note,$968K,$8M,Poland
Decimal Software Ltd,Information Technology,Debt,$43K,$8M,Ireland
DecImmune Therapeutics,Industrial,Convertible Note,$500K,$2M,New Zealand
Decipher,Energy,STO,$591K,$4M,Singapore
Deciphera Pharmaceuticals,Communication Services,STO,$851K,$9M,Sweden
Decisio Health,Energy,STO,$788K,$2M,United Kingdom
Decision Curve,Energy,Equity,$304K,$7M,Denmark
Decision Diagnostics,Information Technology,Debt,$819K,$6M,Iran
Decision Lens,Materials,Debt,$348K,$3M,Malaysia
Decision Management International,Communication Services,Equity,$167K,$10M,China
Decision Pace,Real Estate,Debt,$305K,$7M,Turkey
Decision Rocket,Materials,STO,$678K,$5M,Bangladesh
Decision Science Labs,Utilities,Convertible Note,$520K,$3M,Canada
Decision Sciences,Healthcare,Convertible Note,$45K,$2M,Bangladesh
Decision Simulation,Consumer Staples,Debt,$391K,$2M,Poland
DecisionDesk,Information Technology,Convertible Note,$202K,$2M,Singapore
Decisionlink,Real Estate,Debt,$161K,$8M,China
DecisionNext,Materials,Equity,$392K,$5M,Indonesia
DecisionPoint Systems,Real Estate,STO,$683K,$3M,Ireland
DecisionSim,Communication Services,Debt,$841K,$10M,Australia
DecisionView,Healthcare,STO,$890K,$5M,Australia
Decisiv,Materials,Equity,$704K,$2M,China
Decisive,Consumer Staples,Debt,$851K,$6M,Thailand
Decisive BI,Consumer Descretionary,Convertible Note,$162K,$2M,France
Decisyon,Energy,STO,$887K,$9M,United States
DeciZium,Energy,Debt,$5K,$7M,Turkey
Deck App Technologies,Consumer Descretionary,Debt,$341K,$10M,Turkey
DeckDAQ,Real Estate,Debt,$88K,$8M,Poland
Deckerton,Consumer Staples,Debt,$594K,$8M,Singapore
Declara,Financials,Equity,$219K,$6M,India
DECNUT,Utilities,Convertible Note,$115K,$8M,Iran
Decohunt,Consumer Staples,Equity,$899K,$3M,New Zealand
Decolar.com,Real Estate,Convertible Note,$531K,$8M,Indonesia
Decorama World,Healthcare,Equity,$97K,$9M,South Africa
Decorative Hardware Inc,Energy,STO,$59K,$9M,Bangladesh
Decorist,Consumer Staples,Equity,$736K,$9M,Australia
DecoSlide,Healthcare,STO,$248K,$3M,Iran
DecoSnap,Real Estate,STO,$388K,$8M,India
Decru,Healthcare,Debt,$162K,$7M,China
Decuma AB,Financials,Equity,$32K,$7M,Bangladesh
Decurate,Materials,Equity,$114K,$4M,Denmark
Dedalus Group,Industrial,Equity,$681K,$8M,Israel
Dedicated Devices,Materials,STO,$544K,$3M,Mexico
DediServe,Information Technology,Equity,$882K,$7M,Thailand
Dedrone,Consumer Descretionary,Debt,$725K,$2M,Afghanistan
DEE Piping Systems,Information Technology,Convertible Note,$740K,$10M,Poland
Dee's Ventures,Industrial,STO,$562K,$5M,Thailand
Deed,Healthcare,STO,$62K,$10M,Turkey
Deehubs,Industrial,Equity,$735K,$8M,Spain
Deekit,Energy,Convertible Note,$918K,$8M,Spain
Deem,Consumer Descretionary,Equity,$706K,$8M,Afghanistan
DeeMe,Industrial,STO,$632K,$3M,Malaysia
Deemelo,Information Technology,STO,$316K,$7M,Ireland
Deenty,Financials,Equity,$496K,$8M,Mexico
Deep Casing Tools,Materials,Equity,$558K,$4M,Denmark
Deep Domain,Industrial,Debt,$97K,$6M,France
Deep Driver,Energy,Equity,$951K,$5M,Canada
Deep Fiber Solutions,Consumer Descretionary,Debt,$435K,$9M,Iran
Deep Forest Media,Consumer Staples,Equity,$989K,$7M,Denmark
Deep Genomics,Consumer Descretionary,Equity,$141K,$2M,Ireland
Deep Glint,Industrial,Convertible Note,$205K,$4M,Iran
Deep Identity,Healthcare,Equity,$367K,$10M,Singapore
Deep Imaging Technologies,Healthcare,Convertible Note,$279K,$1M,Indonesia
"Deep Information Sciences, Inc.",Industrial,Convertible Note,$545K,$2M,Australia
Deep Liquidity,Industrial,Debt,$705K,$8M,Indonesia
Deep Nines,Information Technology,Equity,$156K,$2M,Denmark
Deep Sea Marketing S.A.,Information Technology,Debt,$708K,$2M,Indonesia
Deep-Secure,Consumer Descretionary,Debt,$269K,$5M,Poland
Deep Space Industries - DSI,Consumer Descretionary,Convertible Note,$954K,$9M,China
Deepclass,Real Estate,STO,$725K,$9M,Singapore
DeepDyve,Energy,Debt,$19K,$8M,India
DeepField,Energy,STO,$532K,$1M,Poland
DeepFlex,Financials,Debt,$962K,$3M,New Zealand
deeplocal,Information Technology,Convertible Note,$355K,$1M,United States
DeepMile Networks,Materials,Convertible Note,$538K,$5M,Singapore
Deepomatic,Consumer Descretionary,STO,$4K,$4M,Australia
DeepRockDrive,Financials,Equity,$39K,$1M,Canada
deepsense.io,Communication Services,Equity,$600K,$8M,Indonesia
DeepStream Technologies,Utilities,STO,$265K,$4M,Turkey
Deepwater Corrosion Services,Utilities,Debt,$302K,$6M,Denmark
Deerpath Energy,Communication Services,Convertible Note,$187K,$1M,China
Deetectee Microsystems,Consumer Descretionary,Debt,$311K,$2M,Israel
"deets, Inc.",Energy,Debt,$321K,$3M,South Africa
Deezer,Energy,Convertible Note,$204K,$3M,Canada
